epoch,step,训练/AUROC,训练/CoT一致性损失,训练/CoT准确率,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/CoT一致性损失,验证/CoT准确率,验证/F1分数,验证/准确率,验证/总损失,验证/损失
0,28,,,,,,,0.7447169423103333,0.055832430720329285,0.6518117189407349,0.39905381202697754,0.6647230386734009,0.5481973886489868,0.5481973886489868
0,28,0.5307021141052246,,,,,,,,,,,,
1,49,,0.04768294841051102,0.7109375,0.71875,0.5140411853790283,0.5140411853790283,,,,,,,
1,57,,,,,,,0.7828184366226196,0.03889437019824982,0.7505205869674683,0.6952059864997864,0.7530195713043213,0.47858187556266785,0.47858187556266785
1,57,0.6565332412719727,,,,,,,,,,,,
2,86,,,,,,,0.8078911304473877,0.025348404422402382,0.7621824145317078,0.7281391620635986,0.7700957655906677,0.4492260217666626,0.4492260217666626
2,86,0.7485691905021667,,,,,,,,,,,,
3,99,,0.025183578953146935,0.8203125,0.796875,0.37927088141441345,0.37927088141441345,,,,,,,
3,115,,,,,,,0.8194535970687866,0.016791360452771187,0.7788421511650085,0.7399899363517761,0.776759684085846,0.4384737014770508,0.4384737014770508
3,115,0.7934084534645081,,,,,,,,,,,,
4,144,,,,,,,0.8253685235977173,0.013555568642914295,0.7742606997489929,0.7386612296104431,0.7780091762542725,0.43631523847579956,0.43631523847579956
4,144,0.8203228712081909,,,,,,,,,,,,
