epoch,step,测试/AUROC,测试/CoT准确率,测试/F1分数,测试/准确率,训练/AUROC,训练/CoT一致性损失,训练/CoT准确率,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/CoT一致性损失,验证/CoT准确率,验证/F1分数,验证/准确率,验证/总损失,验证/损失
0,49,,,,,,0.016721297055482864,0.7109375,0.7109375,0.5915075540542603,0.5915075540542603,,,,,,,
0,56,,,,,,,,,,,0.7855667471885681,0.011158132925629616,0.6097459197044373,0.6078537702560425,0.6097459197044373,0.7210394144058228,0.7210394144058228
0,56,,,,,0.6691632270812988,,,,,,,,,,,,
1,99,,,,,,0.010295397602021694,0.7734375,0.7734375,0.47742387652397156,0.47742387652397156,,,,,,,
1,113,,,,,,,,,,,0.8205602765083313,0.005626010708510876,0.7771762013435364,0.7433316111564636,0.7771762013435364,0.49315938353538513,0.49315938353538513
1,113,,,,,0.8082495927810669,,,,,,,,,,,,
2,149,,,,,,0.007193544413894415,0.796875,0.796875,0.4753379821777344,0.4753379821777344,,,,,,,
2,170,,,,,,,,,,,0.8285992741584778,0.0033092317171394825,0.7805081009864807,0.7322049736976624,0.7805081009864807,0.488627165555954,0.488627165555954
2,170,,,,,0.8556062579154968,,,,,,,,,,,,
3,171,0.7529405951499939,0.5755935311317444,0.5742689371109009,0.5755935311317444,,,,,,,,,,,,,
